canonical_smi,scaffold,scaffold_group,in_train,in_test
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,O=C1C=CCO1,O=C1C=CCO1,False,True
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,O=C(O[C@@H]1Cc2ccccc2O[C@@H]1c1ccccc1)c1ccccc1,O=C(O[C@@H]1Cc2ccccc2O[C@@H]1c1ccccc1)c1ccccc1,True,False
COC(=O)Cc1ccc(OC[C@@H]2CO2)cc1,c1ccc(OC[C@@H]2CO2)cc1,c1ccc(OC[C@@H]2CO2)cc1,True,False
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,True,False
CN(C)c1ncnc2c1ncn2CC(N)C(=O)O,c1ncc2nc[nH]c2n1,c1ncc2nc[nH]c2n1,True,False
NC(Cn1cnc2c(NC3CC3)ncnc21)C(=O)O,c1nc(NC2CC2)c2nc[nH]c2n1,c1nc(NC2CC2)c2nc[nH]c2n1,True,False
NC(Cn1cnc2c(S)ncnc21)C(=O)O,c1ncc2nc[nH]c2n1,c1ncc2nc[nH]c2n1,True,False
CN(C)c1nc(N)nc2c1ncn2CC(N)C(=O)O,c1ncc2nc[nH]c2n1,c1ncc2nc[nH]c2n1,True,False
Nc1nc(NC2CC2)c2ncn(CC(N)C(=O)O)c2n1,c1nc(NC2CC2)c2nc[nH]c2n1,c1nc(NC2CC2)c2nc[nH]c2n1,True,False
Nc1nc2c(ncn2CC(N)C(=O)O)c(=O)[nH]1,O=c1[nH]cnc2[nH]cnc12,O=c1[nH]cnc2[nH]cnc12,True,False
Nc1nc(S)c2ncn(CC(N)C(=O)O)c2n1,c1ncc2nc[nH]c2n1,c1ncc2nc[nH]c2n1,True,False
CC(C)=CCCCC(=O)c1c(O)cc(O)cc1O,c1ccccc1,c1ccccc1,False,True
